/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
FINDY — Procesador FINAL v5 (vectorizado)
============================================================

📂 2013 archivos encontrados

⚙️  Leyendo archivos...
  [37/2013] ✅ REPSOL OFI 365 10K PARTE 2 08-10-24.xlsx: 9,999 filas (acum: 9,999)
  [38/2013] ✅ REPSOL OFI 736 10K PARTE 1 08-10-24.xlsx: 9,999 filas (acum: 19,998)
  [39/2013] ✅ REPSOL OFI EXTERNO 10K PARTE 3 08-10-24.xlsx: 9,999 filas (acum: 29,997)
  [40/2013] ✅ BASE COSMOS PRUEBA 1000 CLIENTES OFI 736 17-09-24 PARTE 1.xlsx: 928 filas (acum: 30,925)
  [41/2013] ✅ ALUMBRA ENERGIA 22-10-25 300 CLIENTES CUENTAS 22-10-25 PARTE 9.xlsx: 379 filas (acum: 31,304)
  [42/2013] ✅ 100k luz y gas.xlsx: 49,999 filas (acum: 81,303)
  [43/2013] ✅ 106K ENERGIA DUAL CON CUENTA.xlsx: 49,127 filas (acum: 130,430)
  [44/2013] ✅ 113.000 K 15 - OCT.xlsx: 50,000 filas (acum: 180,430)
  [45/2013] ✅ 114k 15 OCT.xlsx: 50,000 filas (acum: 230,430)
  [47/2013] ✅ 50KJORGEH.xlsx: 25,878 filas (acum: 256,308)
  [49/2013] ✅ BASE COMPLETA JHON 200k (002).xlsx: 50,000 filas (acum: 306,308)
  [50/2013] ✅ BBDD COLOMBI PARTE 3 20K 06-12-23.xlsx: 20,000 filas (acum: 326,308)
  [51/2013] ✅ BBDD COLOMBI PARTE 4 20K 06-12-23.xlsx: 20,000 filas (acum: 346,308)
  [52/2013] ✅ BBDD COLOMBI PARTE 5 20K 06-12-23.xlsx: 20,000 filas (acum: 366,308)
  [53/2013] ✅ Cartera.xlsx: 37,925 filas (acum: 404,233)
  [55/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 3.xlsx: 9,888 filas (acum: 414,121)
  [56/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 4.xlsx: 9,897 filas (acum: 424,018)
  [57/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 5.xlsx: 9,901 filas (acum: 433,919)
  [58/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 6.xlsx: 9,916 filas (acum: 443,835)
  [59/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 7.xlsx: 15,589 filas (acum: 459,424)
  [60/2013] ✅ JESUS LIMA 7K 07-01-25 PARTE 1.xlsx: 7,386 filas (acum: 466,810)
  [61/2013] ✅ JESUS LIMA 7K 07-01-25 PARTE 2.xlsx: 6,999 filas (acum: 473,809)
  [65/2013] ✅ NATURGY IBERDROLA enrgia cusp iban 14K.xlsx: 14,385 filas (acum: 488,194)
  [66/2013] ✅ bbdd 376k colombi en NETO para CARGAR.xlsx: 50,000 filas (acum: 538,194)
  [67/2013] ✅ jhon pbr.xlsx: 50,000 filas (acum: 588,194)
  [68/2013] ✅ muestra 1 energia.xlsx: 99 filas (acum: 588,293)
  [70/2013] ✅ BBDD ANGEL 30K PARTE 1 14-06-24.xlsx: 29,999 filas (acum: 618,292)
  [71/2013] ✅ BBDD ANGEL 30K PARTE 2 14-06-24.xlsx: 29,999 filas (acum: 648,291)
  [72/2013] ✅ BBDD ANGEL 30K PARTE 3 14-06-24.xlsx: 29,999 filas (acum: 678,290)
  [73/2013] ✅ BBDD ANGEL 30K PARTE 4 14-06-24.xlsx: 29,999 filas (acum: 708,289)
  [74/2013] ✅ BBDD ANGEL 30K PARTE 5 14-06-24.xlsx: 34,999 filas (acum: 743,288)
  [75/2013] ✅ BBDD ANGEL 44K PARTE 6 14-06-24.xlsx: 44,349 filas (acum: 787,637)
  [76/2013] ✅ bbdd ANGEL 18-06-24 parte 1 25K.xlsx: 24,999 filas (acum: 812,636)
  [78/2013] ✅ BASE ELIZABETH CUENTAS 18K OFI EXTERNO 08-09-24 PARTE 6.xlsx: 18,557 filas (acum: 831,193)
  [79/2013] ✅ BASE ELIZABETH CUENTAS 24K OFI EXTERNO 08-09-24 PARTE 3.xlsx: 23,972 filas (acum: 855,165)
  [80/2013] ✅ BASE ELIZABETH CUENTAS 30K OFI 365 08-09-24 PARTE 2.xlsx: 29,999 filas (acum: 885,164)
  [81/2013] ✅ BASE ELIZABETH CUENTAS 30K OFI 736 08-09-24 PARTE 1.xlsx: 29,999 filas (acum: 915,163)
  [82/2013] ✅ BASE ELIZABETH CUENTAS 50K OFI 365 08-09-24 PARTE 5.xlsx: 49,998 filas (acum: 965,161)
  [83/2013] ✅ BASE ELIZABETH CUENTAS 50K OFI 736 08-09-24 PARTE 4.xlsx: 50,000 filas (acum: 1,015,161)
  [84/2013] ✅ BASE ELIZABETH CUENTAS 5K OFI EXTERNO 08-09-24 PARTE 7.xlsx: 5,601 filas (acum: 1,020,762)
  [85/2013] ✅ BASE NUEVA LIZ 12K OFI EXTERNO 07-09-24 PARTE 3.xlsx: 12,388 filas (acum: 1,033,150)
  [86/2013] ✅ BASE NUEVA LIZ 20K OFI 365 07-09-24 PARTE 2.xlsx: 19,999 filas (acum: 1,053,149)
  [87/2013] ✅ BASE NUEVA LIZ 20K OFI 736 07-09-24 PARTE 1.xlsx: 19,999 filas (acum: 1,073,148)
  [88/2013] ✅ BBDDD LIZ 10K CUENTAS 20-08-24 PARTE 1.xlsx: 9,999 filas (acum: 1,083,147)
  [89/2013] ✅ BBDDD LIZ 16K CUENTAS 20-08-24 PARTE 3.xlsx: 16,800 filas (acum: 1,099,947)
  [90/2013] ✅ BBDDD LIZ 5K CUENTAS 20-08-24 PARTE 2.xlsx: 4,000 filas (acum: 1,103,947)
  [91/2013] ✅ ELIZ 10K 12-05-25 PARTE 1(PARA POWERBRANDS).xlsx: 9,999 filas (acum: 1,113,946)
  [92/2013] ✅ ELIZ 10K 12-05-25 PARTE 1.xlsx: 9,999 filas (acum: 1,123,945)
  [93/2013] ✅ ELIZ 10K 12-05-25 PARTE 2.xlsx: 9,999 filas (acum: 1,133,944)
  [94/2013] ✅ ELIZ 10K 12-05-25 PARTE 3.xlsx: 9,999 filas (acum: 1,143,943)
  [95/2013] ✅ ELIZ 10K 12-05-25 PARTE 4.xlsx: 9,999 filas (acum: 1,153,942)
  [96/2013] ✅ ELIZ 10K 12-05-25 PARTE 5.xlsx: 10,183 filas (acum: 1,164,125)
  [97/2013] ✅ ELIZ 5K 9-05-25 PARTE 1.xlsx: 5,272 filas (acum: 1,169,397)
  [98/2013] ✅ ELIZ 5K 9-05-25 PARTE 2.xlsx: 4,999 filas (acum: 1,174,396)
  [99/2013] ✅ LIZABETH 10K PARTE 1 28-05-25.xlsx: 10,056 filas (acum: 1,184,452)
  [100/2013] ✅ LIZABETH 10K PARTE 2 28-05-25.xlsx: 9,999 filas (acum: 1,194,451)
  [101/2013] ✅ LIZABETH 10K PARTE 3 28-05-25.xlsx: 9,999 filas (acum: 1,204,450)
  [102/2013] ✅ LIZABETH 10K PARTE 4 28-05-25.xlsx: 9,999 filas (acum: 1,214,449)
  [103/2013] ✅ LIZABETH 10K PARTE 5 28-05-25.xlsx: 9,999 filas (acum: 1,224,448)
  [104/2013] ✅ MEDELLIN 02-06-25 10K PARTE 1.xlsx: 9,998 filas (acum: 1,234,446)
  [105/2013] ✅ MEDELLIN 02-06-25 10K PARTE 2.xlsx: 9,998 filas (acum: 1,244,444)
  [106/2013] ✅ MEDELLIN 02-06-25 10K PARTE 3.xlsx: 9,998 filas (acum: 1,254,442)
  [107/2013] ✅ MEDELLIN 02-06-25 10K PARTE 4.xlsx: 10,796 filas (acum: 1,265,238)
  [108/2013] ✅ ----izquieda.xlsx: 1,000 filas (acum: 1,266,238)
  [109/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 1.xlsx: 5,001 filas (acum: 1,271,239)
  [110/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 2.xlsx: 5,001 filas (acum: 1,276,240)
  [111/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 3.xlsx: 5,001 filas (acum: 1,281,241)
  [112/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 4.xlsx: 5,001 filas (acum: 1,286,242)
  [113/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 5.xlsx: 5,001 filas (acum: 1,291,243)
  [114/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 6.xlsx: 5,001 filas (acum: 1,296,244)
  [115/2013] ✅ 100.010K.xlsx: 50,000 filas (acum: 1,346,244)
  [116/2013] ✅ 1000 #1.xlsx: 1,000 filas (acum: 1,347,244)
  [117/2013] ✅ 1000 CLIENTES PRUEBA LIZ 22-04-25.xlsx: 1,058 filas (acum: 1,348,302)
  [118/2013] ✅ 1000 PRUEBA JHON.xlsx: 1,058 filas (acum: 1,349,360)
  [119/2013] ✅ 1000.(2).xlsx: 998 filas (acum: 1,350,358)
  [120/2013] ✅ 1000.(3).xlsx: 1,000 filas (acum: 1,351,358)
  [121/2013] ✅ 1000k.xlsx: 999 filas (acum: 1,352,357)
  [123/2013] ✅ 100K ENERGIA.xlsx: 50,000 filas (acum: 1,402,357)
  [125/2013] ✅ 100K LIZ SIN CARGAR.xlsx: 49,999 filas (acum: 1,452,356)
