============================================================
PASO 1: Leer Excel → CSV sin dedup
============================================================

📂 2013 archivos
  [37/2013] ✅ REPSOL OFI 365 10K PARTE 2 08-10-24.xlsx: 9,999 filas (total: 9,999)
  [38/2013] ✅ REPSOL OFI 736 10K PARTE 1 08-10-24.xlsx: 9,999 filas (total: 19,998)
  [39/2013] ✅ REPSOL OFI EXTERNO 10K PARTE 3 08-10-24.xlsx: 9,999 filas (total: 29,997)
  [40/2013] ✅ BASE COSMOS PRUEBA 1000 CLIENTES OFI 736 17-09-24 PARTE 1.xlsx: 928 filas (total: 30,925)
  [41/2013] ✅ ALUMBRA ENERGIA 22-10-25 300 CLIENTES CUENTAS 22-10-25 PARTE 9.xlsx: 379 filas (total: 31,304)
  [42/2013] ✅ 100k luz y gas.xlsx: 49,999 filas (total: 81,303)
  [43/2013] ✅ 106K ENERGIA DUAL CON CUENTA.xlsx: 50,000 filas (total: 131,303)
  [44/2013] ✅ 113.000 K 15 - OCT.xlsx: 50,000 filas (total: 181,303)
  [45/2013] ✅ 114k 15 OCT.xlsx: 50,000 filas (total: 231,303)
  [47/2013] ✅ 50KJORGEH.xlsx: 25,878 filas (total: 257,181)
  [49/2013] ✅ BASE COMPLETA JHON 200k (002).xlsx: 50,000 filas (total: 307,181)
  [50/2013] ✅ BBDD COLOMBI PARTE 3 20K 06-12-23.xlsx: 20,000 filas (total: 327,181)
  [51/2013] ✅ BBDD COLOMBI PARTE 4 20K 06-12-23.xlsx: 20,000 filas (total: 347,181)
  [52/2013] ✅ BBDD COLOMBI PARTE 5 20K 06-12-23.xlsx: 20,000 filas (total: 367,181)
  [53/2013] ✅ Cartera.xlsx: 37,925 filas (total: 405,106)
  [55/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 3.xlsx: 9,999 filas (total: 415,105)
  [56/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 4.xlsx: 9,999 filas (total: 425,104)
  [57/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 5.xlsx: 9,999 filas (total: 435,103)
  [58/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 6.xlsx: 9,999 filas (total: 445,102)
  [59/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 7.xlsx: 15,763 filas (total: 460,865)
  [60/2013] ✅ JESUS LIMA 7K 07-01-25 PARTE 1.xlsx: 7,386 filas (total: 468,251)
  [61/2013] ✅ JESUS LIMA 7K 07-01-25 PARTE 2.xlsx: 6,999 filas (total: 475,250)
  [65/2013] ✅ NATURGY IBERDROLA enrgia cusp iban 14K.xlsx: 14,385 filas (total: 489,635)
  [66/2013] ✅ bbdd 376k colombi en NETO para CARGAR.xlsx: 50,000 filas (total: 539,635)
  [67/2013] ✅ jhon pbr.xlsx: 50,000 filas (total: 589,635)
  [68/2013] ✅ muestra 1 energia.xlsx: 99 filas (total: 589,734)
  [70/2013] ✅ BBDD ANGEL 30K PARTE 1 14-06-24.xlsx: 29,999 filas (total: 619,733)
  [71/2013] ✅ BBDD ANGEL 30K PARTE 2 14-06-24.xlsx: 29,999 filas (total: 649,732)
  [72/2013] ✅ BBDD ANGEL 30K PARTE 3 14-06-24.xlsx: 29,999 filas (total: 679,731)
  [73/2013] ✅ BBDD ANGEL 30K PARTE 4 14-06-24.xlsx: 29,999 filas (total: 709,730)
  [74/2013] ✅ BBDD ANGEL 30K PARTE 5 14-06-24.xlsx: 34,999 filas (total: 744,729)
  [75/2013] ✅ BBDD ANGEL 44K PARTE 6 14-06-24.xlsx: 44,349 filas (total: 789,078)
  [76/2013] ✅ bbdd ANGEL 18-06-24 parte 1 25K.xlsx: 24,999 filas (total: 814,077)
  [78/2013] ✅ BASE ELIZABETH CUENTAS 18K OFI EXTERNO 08-09-24 PARTE 6.xlsx: 18,557 filas (total: 832,634)
  [79/2013] ✅ BASE ELIZABETH CUENTAS 24K OFI EXTERNO 08-09-24 PARTE 3.xlsx: 23,972 filas (total: 856,606)
  [80/2013] ✅ BASE ELIZABETH CUENTAS 30K OFI 365 08-09-24 PARTE 2.xlsx: 29,999 filas (total: 886,605)
  [81/2013] ✅ BASE ELIZABETH CUENTAS 30K OFI 736 08-09-24 PARTE 1.xlsx: 29,999 filas (total: 916,604)
  [82/2013] ✅ BASE ELIZABETH CUENTAS 50K OFI 365 08-09-24 PARTE 5.xlsx: 49,998 filas (total: 966,602)
  [83/2013] ✅ BASE ELIZABETH CUENTAS 50K OFI 736 08-09-24 PARTE 4.xlsx: 50,000 filas (total: 1,016,602)
  [84/2013] ✅ BASE ELIZABETH CUENTAS 5K OFI EXTERNO 08-09-24 PARTE 7.xlsx: 5,601 filas (total: 1,022,203)
  [85/2013] ✅ BASE NUEVA LIZ 12K OFI EXTERNO 07-09-24 PARTE 3.xlsx: 12,388 filas (total: 1,034,591)
  [86/2013] ✅ BASE NUEVA LIZ 20K OFI 365 07-09-24 PARTE 2.xlsx: 19,999 filas (total: 1,054,590)
  [87/2013] ✅ BASE NUEVA LIZ 20K OFI 736 07-09-24 PARTE 1.xlsx: 19,999 filas (total: 1,074,589)
  [88/2013] ✅ BBDDD LIZ 10K CUENTAS 20-08-24 PARTE 1.xlsx: 9,999 filas (total: 1,084,588)
  [89/2013] ✅ BBDDD LIZ 16K CUENTAS 20-08-24 PARTE 3.xlsx: 16,800 filas (total: 1,101,388)
  [90/2013] ✅ BBDDD LIZ 5K CUENTAS 20-08-24 PARTE 2.xlsx: 4,000 filas (total: 1,105,388)
  [91/2013] ✅ ELIZ 10K 12-05-25 PARTE 1(PARA POWERBRANDS).xlsx: 9,999 filas (total: 1,115,387)
  [92/2013] ✅ ELIZ 10K 12-05-25 PARTE 1.xlsx: 9,999 filas (total: 1,125,386)
  [93/2013] ✅ ELIZ 10K 12-05-25 PARTE 2.xlsx: 9,999 filas (total: 1,135,385)
  [94/2013] ✅ ELIZ 10K 12-05-25 PARTE 3.xlsx: 9,999 filas (total: 1,145,384)
  [95/2013] ✅ ELIZ 10K 12-05-25 PARTE 4.xlsx: 9,999 filas (total: 1,155,383)
  [96/2013] ✅ ELIZ 10K 12-05-25 PARTE 5.xlsx: 10,183 filas (total: 1,165,566)
  [97/2013] ✅ ELIZ 5K 9-05-25 PARTE 1.xlsx: 5,272 filas (total: 1,170,838)
  [98/2013] ✅ ELIZ 5K 9-05-25 PARTE 2.xlsx: 4,999 filas (total: 1,175,837)
  [99/2013] ✅ LIZABETH 10K PARTE 1 28-05-25.xlsx: 10,056 filas (total: 1,185,893)
  [100/2013] ✅ LIZABETH 10K PARTE 2 28-05-25.xlsx: 9,999 filas (total: 1,195,892)
  [101/2013] ✅ LIZABETH 10K PARTE 3 28-05-25.xlsx: 9,999 filas (total: 1,205,891)
  [102/2013] ✅ LIZABETH 10K PARTE 4 28-05-25.xlsx: 9,999 filas (total: 1,215,890)
  [103/2013] ✅ LIZABETH 10K PARTE 5 28-05-25.xlsx: 9,999 filas (total: 1,225,889)
  [104/2013] ✅ MEDELLIN 02-06-25 10K PARTE 1.xlsx: 9,998 filas (total: 1,235,887)
  [105/2013] ✅ MEDELLIN 02-06-25 10K PARTE 2.xlsx: 9,998 filas (total: 1,245,885)
  [106/2013] ✅ MEDELLIN 02-06-25 10K PARTE 3.xlsx: 9,998 filas (total: 1,255,883)
  [107/2013] ✅ MEDELLIN 02-06-25 10K PARTE 4.xlsx: 10,796 filas (total: 1,266,679)
  [108/2013] ✅ ----izquieda.xlsx: 1,000 filas (total: 1,267,679)
  [109/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 1.xlsx: 5,001 filas (total: 1,272,680)
  [110/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 2.xlsx: 5,001 filas (total: 1,277,681)
  [111/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 3.xlsx: 5,001 filas (total: 1,282,682)
  [112/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 4.xlsx: 5,001 filas (total: 1,287,683)
  [113/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 5.xlsx: 5,001 filas (total: 1,292,684)
  [114/2013] ✅ 1. PHONE HOUSE 5K 05-11-25 PARTE 6.xlsx: 5,001 filas (total: 1,297,685)
  [115/2013] ✅ 100.010K.xlsx: 50,000 filas (total: 1,347,685)
  [116/2013] ✅ 1000 #1.xlsx: 1,000 filas (total: 1,348,685)
  [117/2013] ✅ 1000 CLIENTES PRUEBA LIZ 22-04-25.xlsx: 1,058 filas (total: 1,349,743)
  [118/2013] ✅ 1000 PRUEBA JHON.xlsx: 1,058 filas (total: 1,350,801)
  [119/2013] ✅ 1000.(2).xlsx: 998 filas (total: 1,351,799)
