/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
PASO 3: Cargar a Supabase (10 workers × 500 registros)
============================================================

📊 7,325,758 filas en CSV
📤 Cargando...

  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 0/7,325,758 (0%) — 0 nuevos, 0 act, 0 err | 0 reg/s | ETA: 0 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 866 reg/s | ETA: 141 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 864 reg/s | ETA: 141 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 862 reg/s | ETA: 141 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 860 reg/s | ETA: 142 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 858 reg/s | ETA: 142 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 855 reg/s | ETA: 143 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 853 reg/s | ETA: 143 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 851 reg/s | ETA: 143 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 849 reg/s | ETA: 144 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 847 reg/s | ETA: 144 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 845 reg/s | ETA: 144 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 843 reg/s | ETA: 145 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 841 reg/s | ETA: 145 min
